feature,importance
signal_first_20_pct,0.17847940341847565
risk_score,0.10148016890975145
signal_sold_pct,0.09875030130922946
signal_fish_count,0.09414278642948329
age_minutes,0.08850859647797293
signal_snipers_pct,0.08058658876186109
signal_bundled_pct,0.050429931131554716
liq_to_mc_ratio,0.04953299793912205
signal_dev_sol,0.04390012202455378
signal_holders,0.03742269668228523
mc_volatility,0.03686805563047412
vol_to_liq_ratio,0.025826338039829803
signal_made,0.021218230328847957
signal_volume_1h,0.018157898453509593
signal_liquidity,0.016351721314970456
security_encoded,0.013823956699550081
signal_mc,0.013199156596811
signal_mc_log,0.012945562510641141
signal_volume_1h_log,0.009538894528975715
signal_liquidity_log,0.0049937885005237595
signal_bond,0.003842804311576656
